callid,rm ai label
6913e34dc77343ba8c54748419ae1ab2,A
f75b09305baf4595b89de91e4e211975,A
9da918a3a2ff4d97b07f80da2d38f598,A
5765ecb98ce947e3a77d62e95aafd20a,A
525c9d2b2a044788b1c6d077242300f5,A
a317db9e037a4f97910e952c339bb6e5,A
1f948a11483144b89079f8c8cb5f15ff,A
9706abfe0dd943cd914cc8427bf53cc7,A
3023e17bd9704fb89b7d5852887a1569,A
4b2811797a31430286fe0633a31d5dfd,A
a3c8665a325247e8aceaa1e3f19dd674,A
d19263d60d714161a9474cd22515ef20,A
abed3f98fc194977b0e0448ed8e77f7f,A
a0bc434ac3174df49d6150f86acae10c,A
ba72b0d0692749c1a0b9220b6bae1aa9,A
b79107e70968454baed463cb3a458805,A
34873327b6c142988cb800865ff62a9a,A
5e0a9c0b68bf4bf69f068331083857f0,A
534c608db5be4bb1b51cffb04b25665b,A
856eb802224040759fd8d590585cd278,A
17500cb16b14428dad5dd8a4001dd050,A
b65bb98e780240ccba6d069889df8a01,A
30c28ffa1b2445189a0115364cbc954a,A
ab3190f1488d4f83a036889721e48e73,A
fcfda7a2d11345e48dae73b1652242eb,A
8eca8529b5f246029e6c1af24765f456,A
4f64736b264040288b599a49d3cd11f9,A
5e15b5a3b990432ab038b6dc406fe017,A
97a14ac326ba40149bcd3c4d3c325276,A
de3e02af772d47d0b7994e378699cbc4,A
d9d3d2ad36494395b88e718d242a5628,B
d9c722b075d24540b1393645c7968620,B
bffee737946f49ca807fe8feff6f5944,B
26f04be4216446fcbec30c05e0cb1cad,B
41c39510e8da43b4a3fea896b534cc5d,B
b1c8fe71b15645dd8503fe90bc84ccb2,B
d520459f1e4140ab95a33d11a6d9306d,B
f61c3fd4032643ba8ea2347671effdc2,B
c956245ce6704e19baa4d24f4a1963e1,B
a6bd291169dd44f09f0ca5b5adea0560,B
3b01e520d3fa447e942af75a2ec3154c,B
23f22e43feec4abcae70c974890c8025,B
241d9ca9ebf44f26b55442ef4a2a7219,B
0dc4be317dd947c385716c6a946719d2,B
305e3197b03044778a4a1b910c0ecc85,B
e72013ae1eb44c14bfc9bf891da05f60,B
d635119de0c6442580b1c10e41f1643d,B
88f80eadc8a0468a9ff7d317f939c627,B
e42e0ef187e34d46b0cd07a60224f950,B
1a1654d0c68d49809bf75db2b236f927,B
22beb573393643f391cfe226a2d648a0,B
55c491c202764c4583389f8c8bf0b607,B
90c7f36600d5488688c458e6c8c1e37f,B
56a2d2a897b84a63b1dd42d85bcb55cd,B
2dd107db3607489495e3e4ebfc1eed16,B
85207153344b49538a558c3e0cfe8a00,B
424bdd24a73c478c92ea5d1f2771c68f,B
46f5eafa6412465b827a2b37f902342e,B
55a1749819b54d06ac0bc773277f1182,B
643b2ba221614622b09e62a4e081ada1,B
9e7201e313d84ce498329a1e025c42e8,C
44f079f307aa472da0e7109c05d76f34,C
19fc9d3ea057440da534d5907b54a7e6,C
4959c94fa2054a95bfaac0f3ee69398e,C
59a88ccc296343388d910c3b69682074,C
73c1714ae76a4c8ab2658135201629f8,C
9c1b761a83f24e8ea49e3b9c8187f647,C
6bcdc8a276484d78bf6d1f4b3a522232,C
de3036d7071f46968ea510521beffe99,C
f48dd30e68d648a39ff0d7c6c373669f,C
322975bad3e54291917572ccc6865129,C
f587c7d6a1644dc3b1e4f4ef76c26b9d,C
b7f4c92343914ea39b3c1d7feed42f0b,C
461967bec47f4de4b22436eb1ef51d50,C
cf371d4bcade40458a0996dd0dbe47d6,C
ed077aaa082a44b59862372e3c140591,C
73767fe569264d28b9c9d408d61a0b6c,C
ba534ac424e947aba3bfe2477a5f83fb,C
8ede4efe53244a7b8ffceec1b666af2a,C
dcf155a9fefd4786ad77c8df88beef01,C
a655899df1164ced8736ff7e24f5a426,C
712fee86b5f440e2b7467fde1fd306f7,C
aec4ebddbf414d5b911aff27aa32cf66,C
5bed8351918249c8b75b0cf3077c5292,C
30bb269281c64b04a3ddbb099ce5be6f,D
56dc42cc522c461bb89a0b1a788ec51c,D
39a78d6deb9045e18f472fcca17bcfa6,D
fd9e57a443004a2dab98a657b51ba428,D
f4b32b3226704f468affc1e45ea68de7,D
db7732e14b264473b86e1c678113304e,D
c091365c590b421aab8a293509040a8f,D
a5ee025787a04914820fb30a024244a0,D
c9737a43618c4f67a63ba80c85d459f6,D
b0c1dacc68d548d79842f1cd7bb22f86,D
92eb451d30b045f0bba3411a8842c41a,D
7e5e7722fa8f4f1eb117112b9e2561b5,D
126155307c7041548ca87376c8952df4,D
90fa501301f14576aa26908dd16693c1,D
8213a028796545e684e3b2e630021ed9,D
bc93a05c7f1f4fe0a89a359f89356f0a,D
45fb89d1a0d345acaf1932e8b12376f0,D
bc978f03b63f45128228680fa38b7a18,D
4b6bb89d3b43427194b453816e8c5639,D
586e44f63c924fd1aef26f3abb91d167,D
aa686d271f44400489f88540979b4dd2,D
2bbd91878b464206a1c8518cf4efed73,D
a9115cf3feeb4d959a5162d35d35ac44,D
c3405949539a4657ab331aa2e921ef45,D
db3c80311aac4549ad81bc5a87d1211e,D
80d0cdc9b6914f379381c8d799b171a7,D
6903d70b6ea8475c858c8cddbb38f85c,D
361fbde7363f4775b4091e1319017207,D
fd3565cd5f1b488cbb00742aec303b4d,D
d5df6096c75e42b8a9fa3a94a0cccffd,D
9937a336d627451a84781f6635f4a181,D
c6c2b837e3864a80b2a9f958c8024338,D
07920977ca504e33b8c82cbaefa0143c,D
07df3ea839db407085179cb33039667f,D
a7026ea5d7cc4524b1d0c0df04097113,D
90fc95763d77484c9fb6c0a88285ae92,D
f9fd52ef9acf4cb0b995ae91749b9dc6,D
f8d57407cfb9499f8c30800f50b671a6,D
178b26833d624712bc4b6409157a564d,D
4258d9bdb3c64ef595895367b3c2024c,D
79f42dfcf031496fbd22c02ff89f5797,D
3d59525172c94effbf266dc1d6083607,D
0c81d32bb69e4538aa481134f15af8a3,D
46a4e6627e59416c9859776e43ad1cf3,D
35d305e018ea47d9a281d51098b36482,D
66902897bbbf49d8a2d9f2d99127c880,D
9dd61041856c4c02af38f5d182cf142f,D
f78427ce6a6d4443a6d00c5a2c9ace0a,D
fd3e033a61584e8281b80cfb8567fe5b,D
10fb8f295744441f87916c4431e3c3aa,D
7f1488abc0b04bad8827530c48a82251,E
8ee27043ced4442a8a6eb03858ea74b4,E
cb4433c69c744cef8a3709ff5d51f4bd,E
44ed13a1aa4949869c1b128fef56047d,E
32bbf91dc26a420a990587ec827a7e7e,E
c0b492bc6382478dbe60c40712ef6945,E
45d1b9aea28e4508bb73895279195036,E
85c0f7b58b8846489e2f041dd758fd9b,E
a0e1ac45b756432d9410237a2a1626b9,E
eeb1e043ea5242588700b3bdb67c6b16,E
b4d190113f3f4dd4b4277d96e057fa13,E
33ad46c342834992a84340d8121b8c0b,E
7a8a0e39036e4dafbce59cdcc1864167,E
5943fe41e20340c1bd1fc0ab90f4f775,E
9d1b6ca413c44218bf9f327ce74a5d67,E
e1e3fe9812b6473ca56c5c85afe3c9c8,E
b012f4a6b993496c9e28a7fd15691274,E
64dcefbca1224badb2e0f2aeae37bfa5,E
6795829716da49849c2dbcb61dfd3c05,E
2be958c55a2048e688364d7c663c7902,E
84da2fb4fbca4f758625c4da37087431,E
fe2c2f68fdc7429fa0610835826927b3,E
c93edd1295234e7280fe3de145d95e17,E
de786c7249c849b08184938fd49fcdf3,E
162e268d90fa404bba601640bfd067f6,E
1ff36820a4304ca3998a9453e4747482,E
297e9f14cf24475bad979bbc37d26d17,E
9783457d493b495a8138976123c1d9d1,E
5e77c980fe274c2294b6c3b2dc2cf653,E
8c63a40895e048808a4a9e88c624cb53,E
34996cb5807c44068748a36050c3f5ba,E
4bd5fdf28a5242c895b7e8a8ec9d3d80,E
1e0444e112924ce797beb43dc1819855,E
42121dc4af6f42be91fdf2b95e8648e6,E
69312dd3b06b4f75ba5c87a6d9310989,E
8ee6eaf5f73f44708aff1ec177909b0e,E
52832ee18efe4dd1a299163660aa0bb0,E
61cb4ba5fd48411d8b8a0b13b2d0fbeb,E
fd73d2290d144a178c6a93709a1981ec,E
b6bd1f2e04134e55b0bf11cfb3972639,E
5939f08d2c1c4d84b28e14a260d098ab,E
7466ac23034d4ca2948fef477a670497,E
1007cf02fda54578a94a83e785bb25e5,E
fdf1ccc3e7f84edbb757c64a7219b5dc,E
9d9f079dca43491b85ed2641a9e666bf,E
e2876d0da49e4f78b1716831b9a5b4a3,E
777fe091ced5435cad3a887cd62238f9,E
bdcf6f8dcfa54e6598449ad9701099e3,E
349cc19043e9473eafa4b914244b650b,E
c0a5affb25754235b6735ebaf286eacd,E
5813370817874739856b9df7f2555dc4,F
7777f989227d4580be2803dbb580487a,F
6462430ea47548f29d23ecca2d96667d,F
a8df708aa1f94b129791f524cb80be9b,F
df1eda16662f459e9581ae961c5ad781,F
9139828db7cc4e7581744867bb1fad58,F
f542b9b0dc474e6dbdf186698e75ea13,F
59168dc8054947438ba258e5f181f17e,F
7882d5a83de9489dbe3a6a597cded960,F
1d0b2ed1d869432da3c8c09da2ebfad6,F
89a3c196fc7448179bf90721dc919ba0,F
f152501182014582a44087794ee7d5a6,F
e3ed38285ea44784904f263c18aef2ab,F
ac75898f71f245979cf99d336b21aa38,F
18cdaa7c33a44dfe96142fb1a0b6fd4b,F
3065c7543c224790866235eabe9435d5,F
1cdc630a46cf4e07b86dae12cb69e450,F
8cc2f47610e941b3a2344d800636a707,F
4997983fe9ca47fc82b0bc219ce7d3b5,F
91854188b8724009a9c2a5117d715ceb,F
8d0ab3774f674e02bda39b674604a52f,F
45930fb3ef3343cc94812a44a6382c26,F
a632aa90d22645c386c177698ae1a032,F
2d6d5de9611648a3a810653772230a61,F
4a737879bf964270b94d32e6c4220a53,F
27226447923940ef983d7e206b2f4b94,F
d70981ea8e5e4f7a8c206bf387bc8c70,F
c6859fba71ed472b80cba7b5e221c27d,F
11e70df0999f4953be84203981b80b86,F
