callid,rm ai label
493262d2304b43adbf579cee95addc7a,A
f82c60ae8bcf48ef9d48282c3ad1adef,A
5bfc1ae5cc8f48e08e1daba32d5d08f4,A
987bb9e78de9474bafde7e46e7e1f050,A
288791985ec447c0bf74c7e4d28e97e2,A
ad60dad13176407aacfe31b88e055155,A
b70f7ad3ef614ff2a68838d7be055999,A
c8395f2d3ebf461b95bda11a2e71c215,A
d13dd24eb0594019bb9f01fffb101502,A
45d5a14a17da42f8bd5616071d73d423,A
ef66aec2cb5947ccb5b6620cb0df82f9,A
d66255dca31d44118f8e711444e7d82c,A
af541842131245ffb66d115b89a681d9,A
c13c022d9e5d497b8a5b4eeb5300372d,A
6d5aa0edca044b449416fd13d99cacc8,A
786c10b9d06443359f27c1278d4b0ec2,A
7d1d1f2b1b3f432b9e960193f6b78607,A
3213dfd0a41c4e2587349fe0fbc52b42,A
8aaca87276024ffeba26b4a87229ee8f,A
5584463505954b6ba545c70e030d0629,A
aaf62f73c66e4511ab73ff1d39801341,A
e02d4bea3e57467e929ba31587338bd4,A
2c9f37a5959e4dc88edf748bf8b8edcb,A
aca4c5edb6e344d38ccaee26888291f8,A
d18436f0e1444e6ea04b7d4a65647690,A
dc0288e1dcf643b080aca96b38fffac3,A
81d820671d8145b08c1e80026cac6564,A
45d247cc5ab7439e9a8b20e5dc339b8a,A
f76ffec08eae4acd81f9a79244a0d923,A
2fd5019efaf64cb3bd250e12c6970d9e,A
c1b6ea2f288547d7b04b2cb43be7a81b,B
8f2d99dfb6854136844a08b3cd1745e0,B
d88ed631c0364f44967e30a6a301ee66,B
81b56c88efcf410fb8f456668807d4a2,B
181ef0b16fd9476a9a641d39d6cc731d,B
91517d6dcf3b4a95b98f20d34c1f41c5,B
8c470dc777b04bcf81d6528617261697,B
9a8d6f2545634b768b44f1b88c7c96f8,B
8165534af8044e4c8f69af3239d51b4f,B
706bf6ef9f034e9b9a567cf104b7324f,B
71810bdbac71434f81a613540305812e,B
120bd17a210845f7aa363d949f080e4a,B
32e053031ead4b3f81e83f227b95bb2c,B
0873876d60104eb2ba13e61905411d12,B
a3b773f07f1145afaa512e576a905afe,B
bb5dd9b6d095485e9fc3dd8543bf7c8e,B
368c7eafb8764f048bb2f68010e6ac89,B
994cf8ce3e414655b9a7d991bf0f39a1,B
4ba09c7f96374710ad8d32de3a7ca371,B
a0240994eb814c588ad5532ec3190581,B
a4a55bd738a9469a93485e1483a9fbda,B
f488381501264c1f94cc34d31097c409,B
449db9e37d524aafa17fac8570744499,B
7e007d0f26e644ee80745577b1c7fe76,B
240b33a8b57649a9a4ced05ea39cc1f6,C
45d4b7bb0aac4e1c84089c9b9dbb4476,C
19c38fc9c2d646c08246c89cec1ec8ea,C
bf195d2ef95c4f5b903b053a2a7dc2af,C
ecf1036e2bff45dca3971153d316b9f4,C
c2601b28dc164f78ab1fd4c9e02b9a0f,C
c050aee0f16140c8b345b7edefa4c493,C
f4a327b1d9f44d9fa6365c6cdbfb0e68,C
67060ff1a4d64603959cfc4787a9865c,C
65d84416f92a46949a67da09f791f75e,C
19e0e7ee2e964dd5ac336bb2bbc1657d,C
a5e17555525e440797ffbbd3df9ac67c,D
1291cccef5b24d82a5173aa406ecfe71,D
f0d84dcfe32d4250a0e1c7c2ddd29748,D
73479b6188474a29999a7e505c11f4d8,D
9efede291ccd4d20835cf2f85fd36793,D
097d23da63444ea39ccad715ea25dd12,D
735054a6629446de9d3dfdc8a6dbe382,D
f15d60c3f7f642f28483965ea114b909,D
406927173721484e8ba45713e0bac1fb,D
9816767213cc4cf1981496c8861d0fa9,D
ebea3e8685034aa3ae2d04fd4e244ce9,D
1fb3ee8478054c31b4e8382de4c5f75a,D
3bdacfd7ed924276b54d931c5381de3b,D
4fd540cc248d4acda69939dd2b01422b,D
53ac1cc0098f42ae8ea51a60b6296018,D
000189f4ba0644989d79e4b69c10f615,D
3f8552a224104e9b884fc23aeef67751,D
cfcfa17708d6424ca10a7e4498efe300,D
3e0dd702a29d40409085308d899042ff,D
db17ce62e8364a5f916b1521a6627f00,D
89aa3c17a9d249329c0fef9ac9139f71,D
b76a2047135144179041e718173b6d7f,D
5ea0fdc3bdf14abd93957912c148c3de,D
bdc89c5817324557a93ac45062a67959,D
ca3a9227099b4f3a9f9d7ef9d71b6d97,D
1b4c3d959bd6455a9032eb6c6260bca0,D
a52221c33c924227963392d58eaf7deb,D
a32786d1f82c456e89451d8b163c6f50,D
f058405a09934f03bdc9208744da5c8f,D
ab84e2b9f10b467d8bcc0eed0663bceb,D
0485dd8867df456e89444f1d598a583b,D
2b22a59c467047b79ad373cc1b4cbb60,D
ad69478505fc44f39e5ae013498720d4,D
33f52da93e70473d9bae0e17edee11e7,D
b7357c4fa6454301aa38e1e8f582171d,D
11f5ba6d64b64c7bbb97a2c657767ef6,D
72a8b4b9348b418ba75bb6f301fbb2a7,D
2bbf1385b7994f5aabe56b188463bde0,D
048d1b3d88474f6a8f836e7ac6ace62b,D
a49a2de988694e24a161758007652f9a,D
c7eda2bfe557450a962befd749998495,D
f2e1d2ff7f194edabe56dc407c417fa8,D
fc8d90c671ca401eb479166256c88aa7,D
dffa008377e44d19b64091059e1159c6,D
7976b97be0a84333a60ff40006d1e310,D
fdf81dd6e54a43cd878c36b550ac6ab6,D
380c73391a8749f8a3d8c1f3371ce3e1,D
aa6421423a8d4b738d0a5f7945344ff5,D
4776f241360c4a86a3b41b8ba0f49124,D
16d2d5b1448a48eaa0299dcc20c3edc7,D
5fd4b97abe974b34b6beabb4db7b30fa,E
eb295c8f1c1641ce9e7f57679fbb77a8,E
2221f4d734294f188a81d0dc7b8eae38,E
fea3c0d615e3417a85e787749c348d5d,E
729a1cbe84904aea809a45887829d654,E
1d7ff1c1fd7043199e76578080984911,E
8056e2d96d7e4f78b19ad7943503f85a,E
726dc65aeca640bd8197257cadbb6559,E
9407ffa5fc284602adde2078f8dbe291,E
99e7b9e7068748ad964e71ab3f9d1c13,E
edf9478422cc4ed59930af036f7d78b4,E
23d2f26f2e4a43c5ae06a274b913882c,E
d88889fafe914db8a3b5310612d68f39,E
1ab6de48a7404201b02c73a80ecd97aa,E
0c0ed154bf0c408db3e14480e0d19b28,E
9ee7c252c3a54a298c3618856041c6e9,E
7d2261b002544ef487145720dfb1a19c,E
d1398ce638464914a950ede79a8e3a39,E
bab4da798798479caa18452e3d8b61ab,E
0abc51af330747cfb63fb795a5d11970,E
ad314ed0c52e498cb390b36ed825efb8,E
5564257dffdd44d482b96732785b104c,E
0c90a7c646954e5896d811e3eab1b448,E
cbec46fbc1aa4f69ac077556eadecad7,E
734b5998685e4b50a987593c4edbbc78,E
0b5bfc8a51f940c2888d94276a15943e,E
2fc62e8f9ab948b6830633da0cd6149b,E
69763a8a7676478fb46ffd847775494d,E
c991ff9ab4004f58ac942259cf9ddec8,E
83a8788b06ae4d8ea60b00f6cc2efc67,E
6956bd9c81b443c0ace89c64e91bf50d,E
7384dc0d01114cc1947f6d2beb47caa0,E
2918c22cf0864763bc36fd135e174e2a,E
8ebaf797efa8484fb7cb9c5c01ff3049,E
8a7981b692ef40b28a0615bbadf51e5f,E
90b92d3bb6c44d9a87c16ea2c752c330,E
19f6a969b9d94178a471a08285f374ff,E
d06588779a154efca28e53cbf75353c1,E
b13654c795274590b2d9dc3a8fb00bb5,E
b0ed979e07d2480e883523d64aacfdd3,E
a19228c74ffa42ab8b13f97d1ea4669e,E
b88f276c9e514710942c6c227be4fc0f,E
d8664b9ba1b447339edb6973967394f2,E
ae2c721df78c43afb7d4cc5d6acdbaf4,E
a865f73ec21b40599e69269e4e7463b6,E
d18855bcf5ee46e09afaaf129e60e230,E
900056dbe09241ed93a7778ae7459f9a,E
dccddd2b9e074a10bdf1613bc79a0db2,E
fe17f67e5e1442b5a397f136ac7666b6,E
5fccf8197f864672b7da89ba6813c4c0,E
29ae8932711c416eb98fdb4d95e27127,F
c6a46e9344484a498a7277b62be498ae,F
2608e91279ca4358b64f31bbee64fe4d,F
f3176aad89ad460caa1a61be73e93a9b,F
29255fbd89104035a04746ca362f80ac,F
5216d11c102644239a4d8704b1874717,F
8c401df81cfd4b8f83a36f9e5cc25cf6,F
1adff52e72a840a999f9ec3c027f4025,F
4ecd060f7457409da313757b0e649de6,F
0f5a54ad50514876854153b8664ab810,F
273f42e7679643cb8df39474f598e406,F
7deb3582f5ac4bcba1437a7fdd66e9b0,F
2eb93784da2a48b79e5dab5315f41947,F
8ec7203702d64461bbdd357c8c15a18a,F
9989a422098b4887ab65347859bf1bf6,F
